muin_egin	DIO/ERG/INE
behartu	DU/ERG/#DA/ABS/#DU/ERG/INF_ALA#DU/ERG/ABS#DA/ABS/#DU/ERG/INE#DA/ABS/INF_ALA#DU/ERG/ALA#DU/ERG/ABS-INE#DU/ERG/INF#DA/ABS/#DA/ABS/INE#DA/ABS/ALA#DU/ERG/ABS#DA/ABS/INE#DU/ERG/INE-INF_ALA#DU/ERG/ABL#DU/ERG/ABS-ALA#DIO/ERG/#DA/ABS/INS#DIO/ERG/DAT#DU/ERG/ABS-SOZ#DA/ABS/ALA#DU/ERG/BEREIZ#DU/ERG/KAUS#DU/ERG/ABS-INS#DU/ERG/GEN_arabera_ZERO#DU/ERG/INS#DA/ABS/ABL#ZAIO/ABS/ABL-DAT#DU/ERG/ABL-ABS-GEN_gain_ABL#DU/ERG/ABL_aurre_ALA-INF_ALA#DU/ERG/ABS-INE-INS#DU/ERG/ABS-INF_ALA#DU/ERG/DES#DU/ERG/INF_ABS#DU/ERG/INF_ALA-INS#DU/ERG/INF_ALA-MOT#DU/ERG/INF_ALA-SOZ#DU/ERG/INF_ALA-ZERO_arte_INE#DU/ERG/INE_zehar_ZERO-INF_ALA#DU/ERG/KONP#DU/ERG/MOS#DU/ERG/ZHG#DA/ABS/ABL-#DA/ABS/INF#DA/ABS/INF_ALA#DA/ABS/ALA-DAT#DA/ABS/GEN_arabera_ZERO#DA/ABS/ABS_gabe_ZERO#DA/ABS/ALA-INE-INF#DA/ABS/DAT#DA/ABS/HELB#DIO/ERG/DAT-INF_ABS#DU/ERG/ABS-ZERO_inguru_ZERO#DU/ERG/ALA-GEN_aldeABS-INE#ZAIO/ABS/DAT#DIO/ERG/ABS-ALA-DAT-INE#DA/ABS/SOZ#DU/ERG/ABS-ALA#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-ALA-INS#DU/ERG/ABS-BNK#DU/ERG/ABS-DES#DU/ERG/ABS-INE-PAR#DU/ERG/ALA-INE#DU/ERG/ALA-INE-INS_gero_ZERO-SOZ#DU/ERG/BNK#DU/ERG/GEN_bide_INS#DU/ERG/GEN_kontra_ZERO#DU/ERG/PAR#DIO/ERG/ABS#DA/ABS/ABS-ALA#DA/ABS/ALA-INE#DA/ABS/ALA-INS#DA/ABS/BNK#DA/ABS/DES#DA/ABS/INE-PAR#DA/ABS/ALA-INE#DA/ABS/ALA-INE-INS_gero_ZERO-SOZ#DA/ABS/BNK#DA/ABS/GEN_bide_INS#DA/ABS/GEN_kontra_ZERO#DA/ABS/PAR#ZAIO/ABS/ALA-DAT-INE#DIO/ERG/ABS-DAT#ZAIO/ABS/#DIO/ERG/DAT-INE#DIO/ERG/INE#DIO/ERG/ABS#DIO/ERG/ABS-INE#DIO/ERG/ALA-DAT#ZAIO/ABS/DAT-INE#DIO/ERG/ABL-DAT#DIO/ERG/ABS-ALA#ZAIO/ABS/#ZAIO/ABS/INE#ZAIO/ABS/ALA-DAT#DIO/ERG/ABS-SOZ#DIO/ERG/ABL#DIO/ERG/ABS-ALA-DAT
amaietu	DA/ABS/
errematatu	DU/ERG/#DU/ERG/ABL#DU/ERG/ABS#DU/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ALA#DU/ERG/ALA-INS#DU/ERG/INE#DU/ERG/INE-INF
behar_gastatu	DU/ERG/ABS#DU/ERG/ABS-INF
salto_egin	DU/ERG/ALA#DU/ERG/ABL#DU/ERG/#DU/ERG/ALA-INE#DU/ERG/ABS#DU/ERG/ALA-INF#DU/ERG/ABL-ABS#DU/ERG/ABL-ALA#DU/ERG/ABS-INE#DIO/ERG/#DU/ERG/ALA-MOD#DU/ERG/INF#DU/ERG/GEN_gain_INE#DU/ERG/ZERO_gain_ABL#DIO/ERG/ALA-INF#DIO/ERG/ALA-INE-INF#DU/ERG/ABL_behe_ALA-ABS#DU/ERG/ABS-ALA#DU/ERG/ABS-GEN_gain_ABL#DU/ERG/ABS-ALA#DIO/ERG/ABL-DAT#DIO/ERG/ALA-DAT#DIO/ERG/DAT#DIO/ERG/ABL-ABS#DIO/ERG/ABL-ALA-DAT#DIO/ERG/ABS#DIO/ERG/ABS-INE#DIO/ERG/ALA-DAT-INE#DIO/ERG/ALA#DIO/ERG/ABL_behe_ALA-ABS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-GEN_gain_ABL#DIO/ERG/ABS-ALA
tipifikatu	DU/ERG/ABS#DA/ABS/INE#DU/ERG/ABS-PRO#DU/ERG/ABS-BEREIZ-INS-MOD#DA/ABS/#DA/ABS/PRO
inprimitu	DA/ABS/#DA/ABS/INE#DA/ABS/SOZ
erkatu	DU/ERG/ABS#DU/ERG/ABS-SOZ#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-PAR_gabe_ZERO#DU/ERG/ABS-SOZ-ZHG
behar_bizi_izan	DA/ABS/INE-INF
burtsaratu	DA/ABS/#DA/ABS/#DA/ABS/GEN_bide_INS
behar_ordaindu	DU/ERG/#DU/ERG/ABS#DU/ERG/INE-INF-INS
gaindimentsionatu	DA/ABS/#DA/ABS/INE
