muin_egin	DIO/ERG/INE
antzutu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INE-INS-MOS
batertu	DU/ERG/ABL-ABS-INE
erein	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABL-ABS#DU/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS-GEN_esku_ABL#DU/ERG/ABS-INE-INS
derrigortu	DU/ERG/#DU/ERG/ABS#DU/ERG/ABS-INE#DIO/ERG/DAT#DU/ERG/INE#DU/ERG/INF_ERG#DU/ERG/ALA#DU/ERG/ALA-INE#DU/ERG/ALA-INE-ZHG#DU/ERG/INF_ALA#DU/ERG/ZHG#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS#DU/ERG/INS#DIO/ERG/ABS#DIO/ERG/#DIO/ERG/ABS-INE#DIO/ERG/DAT-INE#DIO/ERG/ABS-DAT-GEN_arte_INE#DIO/ERG/ABS#DIO/ERG/DAT-INS
interesatu	ZAIO/ABS/#ZAIO/ABS/DAT#DA/ABS/#DU/ERG/#ZAIO/ABS/#DA/ABS/#ZAIO/ABS/DAT#DU/ERG/INE#ZAIO/ABS/INF_ABS#DA/ABS/INE#ZAIO/ABS/DAT-INE#DU/ERG/ABS#DA/ABS/INS#ZAIO/ABS/INE#ZAIO/ABS/ABL-#ZAIO/ABS/ABS-DAT#ZAIO/ABS/DAT-INE#DA/ABS/DAT#DU/ERG/ABS-INS#ZAIO/ABS/DAT-SOZ#DA/ABS/SOZ#DA/ABS/INE#ZAIO/ABS/ALA#ZAIO/ABS/INE#DA/ABS/#DA/ABS/ABS-INE#ZAIO/ABS/INF#ZAIO/ABS/ABS-BEREIZ-DAT#ZAIO/ABS/DAT-INF_ABS#ZAIO/ABS/DAT-INS_landa_ZERO#ZAIO/ABS/DES#ZAIO/ABS/KONT#ZAIO/ABS/KONT-ZERO_barru_ABS#ZAIO/ABS/MOD#DA/ABS/ABL-SOZ#DA/ABS/INS#DA/ABS/BNK#DU/ERG/ABS-INS#DU/ERG/INS_gain_ABS#ZAIO/ABS/ABL-INE#ZAIO/ABS/#ZAIO/ABS/ABS-INE#ZAIO/ABS/ABS-INE-INS#ZAIO/ABS/GEN_bitarte_INS#ZAIO/ABS/PAR#ZAIO/ABS/PRO#ZAIO/ABS/DAT-DAT_buruz_ZERO#ZAIO/ABS/DAT-DES#ZAIO/ABS/DAT-GEN_arte_INE-INS-PAR#ZAIO/ABS/DAT-PAR#DA/ABS/ALA#DU/ERG/SOZ#DA/ABS/ABL-INE#DA/ABS/ABS-INE-INS#DA/ABS/GEN_bitarte_INS#DA/ABS/PAR#DA/ABS/PRO#DA/ABS/DAT_buruz_ZERO#DA/ABS/DES#DA/ABS/GEN_arte_INE-INS-PAR#DA/ABS/PAR#DU/ERG/ABS-ALA#DU/ERG/ABS-INE#DU/ERG/ABL-ABS-INE#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INE-INS#DU/ERG/ABS-GEN_bitarte_INS#DU/ERG/ABS-PAR#DU/ERG/ABS-PRO#DU/ERG/DAT_buruz_ZERO#DU/ERG/DES#DU/ERG/GEN_arte_INE-INS-PAR#DU/ERG/PAR
aipatu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INF#DIO/ERG/ABS#DU/ERG/ABS#DU/ERG/KONP#DU/ERG/ABL-ABS#DU/ERG/ABS-INS#DU/ERG/ABS-GEN_arte_INE#DIO/ERG/ABS-DAT#DU/ERG/ABS-PAR#DU/ERG/ABS-ALA#DU/ERG/ABS-SOZ#DU/ERG/ABS-INE#DU/ERG/INF_ABS#DU/ERG/ABS-INF_ABS#DU/ERG/ABS-ZERO_gisa_ZERO#DU/ERG/INE-KONP#DIO/ERG/ABS-INE#DU/ERG/ABS-INE-INS#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS-KONP#DU/ERG/ABS-ZHG#DU/ERG/ZERO_gisa_ABS#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_inguru_INE#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-MOT#DU/ERG/ABS-PRO#DU/ERG/ABS-INF_ALA#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-INE-INF#DU/ERG/ABS-KAUS#DU/ERG/ABS-INE-INS_gain_ABS#DU/ERG/ABS-BEREIZ-INE#DU/ERG/ABS-GEN_erdi_INE#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-INS#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-GEN_bitarte_INS#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-BNK#DU/ERG/ABS-INF-SOZ#DIO/ERG/ABS-INF#DU/ERG/ABS-GEN_oste_INE#DU/ERG/ABS-DES#DU/ERG/ABS-GEN_alde_ZERO#DU/ERG/ABS-GEN_barru_INE#DU/ERG/ABS-GEN_gain_ABL#DIO/ERG/ABS#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-GEN_uste_INS-INE#DU/ERG/ABS-INE-MOT#DU/ERG/ABS-ZERO_gisa_ABS#DIO/ERG/ABS-DAT#DIO/ERG/ABL-ABS-INE#DIO/ERG/ABS-MOT#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-DAT-PAR#DU/ERG/ABL-ABS#DU/ERG/ABL-ABS-KAUS#DU/ERG/ABS-BEREIZ-INE#DU/ERG/ABS-INF#DU/ERG/ABS-INE-PUNT_BI_PUNT#DU/ERG/ABS-KONP#DU/ERG/ABS-MOD#DU/ERG/ABS-GEN_inguru_ERG#DU/ERG/ABS_arte_ZERO#DU/ERG/ABS-ALA-ZHG#DU/ERG/ABS-BEREIZ-DENB#DU/ERG/ABS-BEREIZ-INF_ALA#DU/ERG/ABS-BEREIZ-INE-ZHG#DU/ERG/ABS-DENB#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INF_MOT#DU/ERG/ABS-GEN_arte_INE-INF#DU/ERG/ABS-GEN_arte_INE-INF_ABS#DU/ERG/ABS-GEN_arte_INE-INE#DU/ERG/ABS-GEN_aurre_INE-INE#DU/ERG/ABS-GEN_truke_ABS-INE#DU/ERG/ABS-HELB#DU/ERG/ABS-INE-INF_INE#DU/ERG/ABS-INE-KONP#DU/ERG/ABS-INE-ZERO_bezala_ZERO#DU/ERG/ABS-INE-ZHG#DU/ERG/ABS-KONT#DU/ERG/ABS-MOD#DU/ERG/ABS-MOS#DU/ERG/ABS-ZERO_gisa_ALA#DU/ERG/ABS-GEN_alde_ERG-ZERO_bezala_ZERO#DU/ERG/ABS_gabe_ZERO#DU/ERG/INF_ABS-SOZ#DU/ERG/INF_ABS-ZERO_gisa_ZERO#DU/ERG/GEN_arte_INE-GEN_aurka_ABS#DU/ERG/GEN_arte_INE-GEN_kontu_ABS
apailatu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABL-ABS-DES-INF_ABL#DU/ERG/ABS-ALA#DU/ERG/ABS-DAT_esker_ZERO#DU/ERG/ABS-INF#DU/ERG/ABS-INF-SOZ#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-GEN_esku_ABL-INE#DU/ERG/ABS-INE-INS#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-MOD#DU/ERG/ABS-ZERO_inguru_ZERO#DU/ERG/ABS-ZHG#DU/ERG/ABS-GEN_erdi_INE-INE#DU/ERG/ABS-SOZ
aldatu	DU/ERG/ABS#DA/ABS/#DA/ABS/INE#DU/ERG/ABS-INE#DU/ERG/ABS-INS#DA/ABS/INS#DA/ABS/#DU/ERG/ABS#DIO/ERG/ABS#DU/ERG/ABS-INE-INS#DA/ABS/ABL#DU/ERG/ABS-ALA#DU/ERG/ABL-ABS#DA/ABS/ALA#DA/ABS/SOZ#DU/ERG/ABS-SOZ#DIO/ERG/ABS-DAT#ZAIO/ABS/#DU/ERG/ABS-PAR#DA/ABS/INE-INS#DA/ABS/PAR#DA/ABS/GEN_arabera_ZERO#DU/ERG/ABL-ABS-ALA#DA/ABS/ABL-ALA#DU/ERG/ABS-MOT#DA/ABS/ABS-INE#DU/ERG/ABS-GEN_arabera_ZERO#DA/ABS/INF#DU/ERG/ABS-ALA-INE#ZAIO/ABS/DAT#DA/ABS/ABL_behe_ALA#DU/ERG/ABS-INF#ZAIO/ABS/#DU/ERG/ABL_behe_ALA-ABS#DA/ABS/ABL-INE#DU/ERG/ABS-INE#DA/ABS/ALA-INE#DA/ABS/DENB#DU/ERG/ABL-ABS-INS#DA/ABS/MOT#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-GEN_oste_INE#DA/ABS/INE-SOZ#DIO/ERG/ABS-DAT-INS#DIO/ERG/ABS-INE#DA/ABS/ALA-INS#DA/ABS/ABL#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-ALA-INS#DA/ABS/GEN_uste_INS#DA/ABS/DES#DA/ABS/GEN_inguru_INE#DA/ABS/INE-INF#DU/ERG/ABS-INE-INF#DU/ERG/ABS-KAUS#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS-GEN_bitarte_INS#DU/ERG/ABS-GEN_inguru_INE#DA/ABS/ABS-INS#DU/ERG/ABS-INS#ZAIO/ABS/INE#DA/ABS/INE-PAR#DA/ABS/ABL-INS#DA/ABS/BNK#DA/ABS/GEN_arte_INE#DA/ABS/GEN_bide_INS#ZAIO/ABS/INS#DA/ABS/ABL-INF#DA/ABS/ABL_behe_ALA-INE#DA/ABS/ABS_gabe_ZERO#DA/ABS/DENB-INE#DA/ABS/GEN_arte_INE-INS#DA/ABS/GEN_barru_INE#DA/ABS/INE-ZERO_goi_ABL#DA/ABS/INE-ZHG#DA/ABS/KAUS#DA/ABS/ZHG#DU/ERG/ABS-ALA-INE-INS#DU/ERG/ABS-DENB#DU/ERG/ABS-INE-INS-MOT#DU/ERG/ABS-INS_gain_ABS#DIO/ERG/ABS-INS#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-INS-SOZ#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-GEN_aurka_ABS#DU/ERG/ABS-INE-PAR#ZAIO/ABS/DAT-INE#DA/ABS/ABL-ALA-INE#DA/ABS/ABL-BEREIZ#DA/ABS/ABL-SOZ#DA/ABS/ABL_aurre_ALA#DA/ABS/GEN_arabera_ZERO-INS#DA/ABS/GEN_oste_INE#DA/ABS/INE-MOT#DIO/ERG/ABS#DU/ERG/ABS-SOZ#DU/ERG/ABS-INS-MOT#DU/ERG/ABL-ABS#DU/ERG/ABS-ALA_begira_ZERO
hetsi	DU/ERG/ABS#DU/ERG/ABS-INE#DIO/ERG/ABS#DIO/ERG/ABL-ABS#DU/ERG/ABS-GEN_beldur_INS#DU/ERG/ABS-INE-INS#DU/ERG/ABS-MOT#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS#DU/ERG/ABL-ABS#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-INE#DIO/ERG/ABS-DAT#DU/ERG/ABS-INE#DU/ERG/ABS-INS#DU/ERG/ABS-ALA#DU/ERG/ABS-INE-MOT#DU/ERG/ABS-INS#DIO/ERG/ABS#DIO/ERG/ABS-GEN_arabera_ZERO-INE#DIO/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-INE#DIO/ERG/ABS-INS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-INE-MOT#DIO/ERG/ABS-INS
ugaritu	DA/ABS/#DU/ERG/ABS#DA/ABS/INE#DU/ERG/ABS-INE#DIO/ERG/ABS#DA/ABS/INS#DIO/ERG/ABS-DAT#DU/ERG/ABS-INS#DA/ABS/INF#DA/ABS/INE-KAUS#DA/ABS/INE-MOD#DU/ERG/ABS-INF#DU/ERG/ABS-INE-INF#DU/ERG/ABS-SOZ#DA/ABS/GEN_inguru_INE#DIO/ERG/ABS-INE#DA/ABS/ABL#DA/ABS/ABS-INE#DU/ERG/ABL_aurre_ALA-ABS#ZAIO/ABS/#DA/ABS/ABL-ABS-ALA#DA/ABS/INF_SOZ#DA/ABS/#DA/ABS/ABS-INF#DA/ABS/DESK#DA/ABS/GEN_eske_ZERO-INF#DA/ABS/INE-SOZ#DA/ABS/KAUS#ZAIO/ABS/INF#DU/ERG/ABS#DU/ERG/ABS-ALA#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-INE-INS#DA/ABS/ABL_aurre_ALA#DA/ABS/ABS-ALA#DA/ABS/ABS-BNK#DA/ABS/DES-SOZ#DA/ABS/GEN_arabera_ZERO-GEN_arte_INE#DA/ABS/INS-SOZ#DA/ABS/PAR#ZAIO/ABS/DAT#DU/ERG/ABL-ABS#DU/ERG/ABS-INE#ZAIO/ABS/INE#DU/ERG/ABS-ALA#DU/ERG/ABS-BNK#DU/ERG/ABS-DES-SOZ#DU/ERG/ABS-GEN_arabera_ZERO-GEN_arte_INE#DU/ERG/ABS-GEN_inguru_INE#DU/ERG/ABS-INS-SOZ#DU/ERG/ABS-PAR#DIO/ERG/ABS-SOZ#DIO/ERG/ABS-INS#DIO/ERG/ABL_aurre_ALA-ABS#DIO/ERG/ABS-DAT#DIO/ERG/ABS-ALA#DIO/ERG/ABS-BEREIZ-DAT#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-INE-INS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-INE#ZAIO/ABS/ABL#ZAIO/ABS/ABS-INE#ZAIO/ABS/INS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-BNK#DIO/ERG/ABS-DES-SOZ#DIO/ERG/ABS-GEN_arabera_ZERO-GEN_arte_INE#DIO/ERG/ABS-GEN_inguru_INE#DIO/ERG/ABS-INS-SOZ#DIO/ERG/ABS-PAR#ZAIO/ABS/ABL_aurre_ALA#ZAIO/ABS/ABS-ALA#ZAIO/ABS/ABS-BNK#ZAIO/ABS/DES-SOZ#ZAIO/ABS/GEN_arabera_ZERO-GEN_arte_INE#ZAIO/ABS/GEN_inguru_INE#ZAIO/ABS/INS-SOZ#ZAIO/ABS/PAR
kontsideratu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INE#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-INE-ZERO_gisa_ABS
entzerratu	DA/ABS/INE
sendatu	DA/ABS/#DU/ERG/ABS#DA/ABS/INE#DU/ERG/ABS-INE#DA/ABS/ABL#DIO/ERG/ABS#ZAIO/ABS/#DU/ERG/ABS-GEN_bide_INS#DA/ABS/#DA/ABS/INS#DIO/ERG/ABS-DAT#DU/ERG/ABS-PAR#DA/ABS/PAR#DU/ERG/ABS-GEN_arabera_ZERO#ZAIO/ABS/DAT#DU/ERG/ABL-ABS#DU/ERG/ABS-SOZ#DA/ABS/ALA#DIO/ERG/ABS-INE#ZAIO/ABS/INE#DU/ERG/ABS-ALA#DU/ERG/ABS-INS#DIO/ERG/ABS-GEN_bide_INS#DA/ABS/ABS-INE#DA/ABS/SOZ#DA/ABS/DAT_esker_ZERO#DA/ABS/KONT#DA/ABS/ABS_gabe_ZERO#DA/ABS/ABS_gabe_ZERO-INF_ABS#DU/ERG/ABS-BNK-INE#DU/ERG/ABS-INF#DU/ERG/ABS-INF-SOZ#DU/ERG/ABS-GEN_kabu_INS#DU/ERG/ABS-INE-ZHG#DU/ERG/ABS-ZERO_barru_ABS#ZAIO/ABS/#ZAIO/ABS/ABS-#DU/ERG/ABL_gora_ZERO-ABS#DU/ERG/ABS#DU/ERG/ABS-INE#DA/ABS/ABL-ALA#DA/ABS/ABS-ALA#DA/ABS/ABS-DES#DA/ABS/ABS-INS#DA/ABS/DAT_esker_ABS#DA/ABS/GEN_arabera_ZERO#DA/ABS/GEN_arte_INE-INE#DA/ABS/GEN_behar_PAR#DA/ABS/GEN_bide_INS#DA/ABS/GEN_bide_INS-INE#DA/ABS/INS_gain_ABS#DA/ABS/MOT#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-ALA#DU/ERG/ABS-DES#DU/ERG/ABS-INS#DU/ERG/ABS-DAT_esker_ABS#DU/ERG/ABS-GEN_arte_INE-INE#DU/ERG/ABS-GEN_behar_PAR#DU/ERG/ABS-GEN_bide_INS-INE#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-MOT#ZAIO/ABS/ABL#DIO/ERG/ABS-PAR#DIO/ERG/ABS-GEN_arabera_ZERO#ZAIO/ABS/PAR#DIO/ERG/ABL-ABS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-INS#ZAIO/ABS/#ZAIO/ABS/ABS-INE#ZAIO/ABS/SOZ#DIO/ERG/ABL_gora_ZERO-ABS#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS#DIO/ERG/ABS-INE#DIO/ERG/ABS-SOZ#ZAIO/ABS/ABL-ALA#ZAIO/ABS/ABS-ALA#ZAIO/ABS/ABS-DES#ZAIO/ABS/ABS-INS#ZAIO/ABS/ALA#ZAIO/ABS/DAT_esker_ABS#ZAIO/ABS/GEN_arabera_ZERO#ZAIO/ABS/GEN_arte_INE-INE#ZAIO/ABS/GEN_behar_PAR#ZAIO/ABS/GEN_bide_INS#ZAIO/ABS/GEN_bide_INS-INE#ZAIO/ABS/INS#ZAIO/ABS/INS_gain_ABS#ZAIO/ABS/MOT#DIO/ERG/ABL-ABS-ALA#DIO/ERG/ABS-ALA#DIO/ERG/ABS-DES#DIO/ERG/ABS-INS#DIO/ERG/ABS-DAT_esker_ABS#DIO/ERG/ABS-GEN_arte_INE-INE#DIO/ERG/ABS-GEN_behar_PAR#DIO/ERG/ABS-GEN_bide_INS-INE#DIO/ERG/ABS-INS_gain_ABS#DIO/ERG/ABS-MOT
behar_bururatu	ZAIO/ABS/
amorratu	DA/ABS/#DU/ERG/ABS#DA/ABS/#DA/ABS/INE#DA/ABS/INF#DA/ABS/ABS-NR-SOZ#DA/ABS/KAUS#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-PAR_gabe_ZERO#DA/ABS/GEN_kontra_ABS#DA/ABS/INS#DA/ABS/INS_gain_ABS#DA/ABS/ZERO_zale_ZERO#DU/ERG/ABS#DU/ERG/ABS-GEN_kontra_ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INS#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-ZERO_zale_ZERO
segurtatu	DU/ERG/ABS#DU/ERG/ABS-INE#DIO/ERG/ABS#DA/ABS/#DU/ERG/ABS-INS#DU/ERG/ABS#DU/ERG/KONP#DIO/ERG/ABS-DAT#DU/ERG/ABL-ABS#DIO/ERG/ABS-DAT#DU/ERG/ABS-ALA#DU/ERG/ABS-INF#DIO/ERG/KONP#DU/ERG/ABS-SOZ#DU/ERG/ABS-DES-GEN_bitarte_INS#DU/ERG/ABS-INF_ABL#DU/ERG/ABS-INF_INE#DU/ERG/ABS-GEN_alde_ABL#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-GEN_alde_ERG#DA/ABS/ABL-DES#DA/ABS/ABS-GEN_arte_INE#DA/ABS/GEN_inguru_ZERO#DU/ERG/ABL_aparte_ZERO-ABS-PAR#DU/ERG/ABS-DES#DU/ERG/ABS-GEN_uste_INS-INE#DU/ERG/ABS-INS-PAR#DU/ERG/ABS-PAR_ezean_ZERO-SOZ#DIO/ERG/ABS-INE#DA/ABS/INE#DIO/ERG/ABS#DA/ABS/#DIO/ERG/ABS-INS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-DAT-INS#DIO/ERG/ABL_aparte_ZERO-ABS-PAR#DIO/ERG/ABS-DES#DIO/ERG/ABS-GEN_uste_INS-INE#DIO/ERG/ABS-INS-PAR#DIO/ERG/ABS-PAR_ezean_ZERO-SOZ#DA/ABS/ABL#DA/ABS/ABL_aparte_ZERO-PAR#DA/ABS/DES#DA/ABS/GEN_uste_INS-INE#DA/ABS/INS-PAR#DA/ABS/PAR_ezean_ZERO-SOZ
baztertu	DU/ERG/ABS#DA/ABS/#DU/ERG/ABS-INE#DU/ERG/ABL-ABS#DA/ABS/INE#DU/ERG/ABS#DA/ABS/ABL#DU/ERG/INF_ABS#DU/ERG/ABS-INS#DIO/ERG/ABS#DA/ABS/#DU/ERG/ABS-INF#DU/ERG/ABS-MOT#DU/ERG/ABS-SOZ#DU/ERG/ABS-ALA#DU/ERG/ABS-PAR#DIO/ERG/ABS-DAT#DU/ERG/ABS-BNK#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABL-ABS-INE#DA/ABS/INS#DA/ABS/ABL#DA/ABS/INF#DU/ERG/ABL-ABS#DA/ABS/ALA#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-INE#DA/ABS/MOT#ZAIO/ABS/#DIO/ERG/ABS-DAT-INE#DU/ERG/ABL-ABS-INS#DU/ERG/ABS-INE-INS#DIO/ERG/ABS-DAT#DU/ERG/ABL-ABS-INF#DU/ERG/ABS-ALA-INE#DU/ERG/KONP#ZAIO/ABS/#ZAIO/ABS/DAT#DA/ABS/PAR#DA/ABS/INE-INS#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-DES#DU/ERG/ABS-INS_gain_ABS#ZAIO/ABS/DAT-INE#DA/ABS/GEN_arabera_ZERO#DA/ABS/SOZ#DA/ABS/ABL-INE-INS#DA/ABS/ABL-INS#DA/ABS/BNK#DU/ERG/ABL-ABS-INE#DU/ERG/ABL-ABS-ALA-INE#DU/ERG/ABL-ABS-ALA-INE-SOZ#DU/ERG/ABL-ABS-DAT_buruz_ZERO-GEN_arabera_ZERO#DU/ERG/ABL-ABS-INF-INS#DU/ERG/ABL-ABS-INF_DAT#DU/ERG/ABL-ABS-GEN_arabera_ZERO#DU/ERG/ABL-ABS-INE-MOT#DU/ERG/ABS-INF#DU/ERG/ABS-KONP-PAR#DU/ERG/ABS-ZERO_alde_ABL#DU/ERG/ABS-ALA_begira_ZERO#DU/ERG/ABS-BEREIZ-INF#DU/ERG/ABS-DES-INF#DU/ERG/ABS-DES-INE#DU/ERG/ABS-INF-INS#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INE-INF_NUMS#DU/ERG/ABS-ZHG#DA/ABS/INF_ABS#DA/ABS/ABS-INE-INS#DA/ABS/GEN_uste_INS#DA/ABS/ZERO_alde_ALA#DA/ABS/ABS_ezean_ZERO-ALA#DIO/ERG/ABS-GEN_kontra_ZERO-INE#DU/ERG/ABS-INS#DU/ERG/ABS-GEN_alde_ABL#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-GEN_uste_INS-INE#DU/ERG/ABS-GEN_uste_INS-SOZ#DU/ERG/ABS-INE-MOT#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-ZERO_bezala_ZERO#DIO/ERG/ABS-INE#DA/ABS/ABL-INE#DIO/ERG/ABL-ABS-DAT#DU/ERG/ABL-ABS-GEN_arte_INE#DU/ERG/ABL-ABS-GEN_aurre_INE#DU/ERG/ABL-ABS-INE-INS#DU/ERG/ABL-ABS-ZERO_arte_DESK#DU/ERG/ABS-ALA-PAR#DU/ERG/ABS-SOZ#DU/ERG/ABS-DAT_buruz_ZERO-INE#DU/ERG/ABS-GEN_aitzin_INE#DU/ERG/ABS-GEN_alde_ERG#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-GEN_aurka_ERG#DU/ERG/ABS-GEN_aurre_ABL
ekarri	DU/ERG/ABS#DU/ERG/ABS-ALA#DIO/ERG/ABS#DU/ERG/ABS-INE#DIO/ERG/ABS-DAT#DU/ERG/ABL-ABS#DU/ERG/ABS#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-INF#DIO/ERG/ABS-ALA#DU/ERG/ABS-INS#DU/ERG/ABS-PAR#DU/ERG/INF_ABS#DU/ERG/ABS-ALA#DU/ERG/ABS-SOZ#DU/ERG/ABS-ALA-INF#DU/ERG/ABS-DES#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-INF_ERG#DU/ERG/ABS-INE#DU/ERG/ABL-ABS-INE#DIO/ERG/ABS-INF#DU/ERG/ALA-KONP#DU/ERG/KONP#DIO/ERG/ABS-INE#DIO/ERG/ABL-ABS#DU/ERG/ABS-ALA-INS#DU/ERG/ABS-GEN_arabera_ZERO#DIO/ERG/ABS-DAT#DU/ERG/ABS-ALA-SOZ#DU/ERG/ABS-ALA-INE#DIO/ERG/ABS-DAT-PAR#DIO/ERG/ABS-INF_ERG#DIO/ERG/ABS#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-DAT-INF#DU/ERG/ABS-INE-INS#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-BEREIZ#DIO/ERG/ABS-PAR#DIO/ERG/ABS-ALA-DAT#DU/ERG/ABS-INE-INF#DU/ERG/ABS-ZHG#DIO/ERG/ABS-ALA-INF#DU/ERG/ABS-MOT#DU/ERG/ABS-ALA-KAUS#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-MOD#DIO/ERG/ABS-INE-INF#DIO/ERG/INF_ABS#DIO/ERG/ABS-ALA-INE#DU/ERG/ABS-ALA-PAR#DU/ERG/ABS-KAUS#DU/ERG/ABS-KONP#DU/ERG/INS_gain_ABS#DU/ERG/ABS-GEN_orde_INS#DIO/ERG/ABS-DAT-INS#DIO/ERG/ABS-INE#DU/ERG/ABS-ALA-MOD#DU/ERG/ABS-ALA-MOT#DU/ERG/ABS-ALA-ZHG#DU/ERG/ABS-INFZERO#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-INS_gain_ABS#DIO/ERG/ABS-DAT-INF_ERG#DIO/ERG/ABS-DES#DIO/ERG/ABL-ABS-DAT#DU/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-INS#DU/ERG/ABS-GEN_hitz_INE#DU/ERG/ABL-ABS-GEN_arabera_ZERO#DU/ERG/ABL-ABS-INS#DU/ERG/ABS-PAR#DIO/ERG/ABS-ALA#DIO/ERG/ABS-MOT#DU/ERG/ABL-ABS-ALA-INF#DU/ERG/ABL-ABS-INF#DU/ERG/ABL-ABS-ZHG#DU/ERG/ABS-INF#DU/ERG/ABS-INS#DU/ERG/ABS-ALA-DENB#DU/ERG/ABS-ALA-INE-INF#DU/ERG/ABS-ALA-MOS#DU/ERG/ABS-BNK#DU/ERG/ABS-DAT_buruz_ZERO-INE#DU/ERG/ABS-DENB#DU/ERG/ABS-DES-INS#DU/ERG/ABS-INF_ABS#DU/ERG/ABS-GEN_berri_ZERO#DU/ERG/ABS-GEN_buru_INE#DIO/ERG/ABS-DAT-INF_ERG#DIO/ERG/ABS-ALA-DENB#DIO/ERG/ABS-DAT-INFZERO#DIO/ERG/ABS-DAT-GEN_uste_INS#DIO/ERG/ABS-DENB#DIO/ERG/ABS-GEN_aurre_ABL#DIO/ERG/ABS-KONP#DIO/ERG/ABS-ALA-INS#DU/ERG/ABL-ABS#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABL-ABS-ALA-INE
nabamendu	DA/ABS/INF
aurresuposatu	DU/ERG/
